row ID,row m/z,row retention time,20250417_fuzi_MeOH_1000ppm_ddms40.mzML Peak area
513,882.5340877,13.339788,89072.586
514,385.3778637,13.369032,1697584.1
515,868.5183139,13.399991,361653.94
516,214.2160453,13.466257,97276.484
517,361.221041,13.466257,235181.72
518,369.3830971,13.466257,200600.7
519,392.2633342,13.466257,155660.86
520,399.1771986,13.466257,120203.914
521,419.2547646,13.525703,263088.34
522,437.2652556,13.525703,208798.03
523,518.3386012,13.559029,134024.34
524,295.2263623,13.588634,101480.35
525,326.3774068,13.588634,285571.84
526,482.3235224,13.61836,60158.953
527,427.3885165,13.651626,169291.11
528,399.3093627,13.681171,193397.75
529,339.2884824,13.714429,89086.62
530,357.2988714,13.714429,241233.31
531,536.3783423,13.714429,736395.6
532,541.3336471,13.714429,421614.9
533,557.3075057,13.714429,265205.12
534,524.3704399,13.774051,319626
535,297.2419245,13.80644,93254.53
536,307.2626448,13.898979,36078.492
537,430.3886335,13.898979,96276.266
538,850.5083464,13.898979,163023.56
539,286.2737984,13.996635,51443.676
540,324.2890315,14.095347,695876.2
541,353.2679296,14.095347,258471.86
542,342.2423904,14.193517,59731.062
543,415.3041942,14.193517,27158.463
544,688.519758,14.193517,36072.51
545,312.3618217,14.257633,1819519.5
546,377.3156519,14.257633,35265.996
547,644.4936454,14.257633,63955.234
548,700.5137307,14.29186,196830.11
549,562.394232,14.326079,38202.312
550,600.4672168,14.326079,78417
551,401.1950719,14.355885,63345.812
552,556.4410669,14.355885,82196.79
553,852.5234739,14.355885,67766.24
554,394.3159978,14.424595,40803.793
555,512.4152091,14.424595,101334.85
556,468.3892254,14.458839,143581.36
557,548.378615,14.488639,84326.58
558,287.2211896,14.518274,472376.7
559,309.2030043,14.518274,147961.72
560,318.2632095,14.518274,198517.44
561,424.3624509,14.518274,145625.23
562,199.1689295,14.555607,53528.48
563,380.3362362,14.555607,113817.42
564,850.5076533,14.555607,230508.56
565,319.2835807,14.585317,105121.06
566,336.3096157,14.585317,73435.18
567,413.409088,14.585317,121842.91
568,329.1585032,14.649067,131857.9
569,403.231677,14.649067,1090202.4
570,425.2134173,14.649067,491012.47
571,434.2738644,14.649067,496472.66
572,441.1875542,14.649067,485888.1
573,868.5185587,14.678482,1451951.4
574,280.2630098,14.743908,153059.28
575,293.2468923,14.743908,163742.38
576,864.5242067,14.812029,99581.52
577,263.2365041,14.841734,89867.625
578,300.2891323,14.841734,145910.31
579,355.2833841,14.841734,181360.61
580,413.2890464,14.841734,85466.516
581,826.5084841,14.875862,78990.586
582,383.1397652,14.935359,112791.92
583,834.5133071,14.935359,1078183.9
584,882.5341448,14.935359,698991.06
585,702.5297511,14.973877,62752.2
586,796.4978691,14.973877,84022.42
587,263.2363203,15.032932,612551.1
588,337.2727382,15.032932,386897.22
589,355.2832587,15.032932,1264277.2
590,584.5024435,15.099935,137326.02
591,796.4977505,15.099935,249674.53
592,852.5236224,15.099935,3824493
593,279.2314036,15.138131,614481.9
594,335.1505991,15.138131,92457.89
595,576.3730071,15.167658,169520.62
596,814.5077948,15.197249,136582.83
597,844.5185764,15.197249,911152.25
598,848.5290593,15.197249,156482.88
599,309.2416349,15.23007,443519.75
600,326.3045186,15.23007,229783.53
601,810.5132919,15.259739,450481.72
602,340.3929405,15.293689,253767.44
603,870.5339885,15.293689,491182.2
604,309.2415983,15.3232,611179
605,866.5394025,15.3232,2305229.8
606,836.5288005,15.419248,1.96E+07
607,858.5336791,15.419248,474919.56
608,309.2415882,15.448574,174726.81
609,256.2628524,15.551061,360794.94
610,441.4405336,15.551061,1606155.1
611,798.5130643,15.551061,769266.1
612,828.5239909,15.58048,3269426.5
613,331.2833787,15.609895,90589.62
614,824.5285242,15.642145,280279.88
615,850.5443794,15.642145,3339250.8
616,854.5387851,15.671517,1777570.6
617,425.4453071,15.738024,202013.05
618,604.4044451,15.767538,140267.39
619,824.5288445,15.80482,253770.02
620,842.5393902,15.80482,1168112.5
621,313.2728909,15.863719,346689.2
622,331.2833878,15.863719,508953
623,868.55438,15.863719,854180.25
624,282.2786003,15.893075,443277.88
625,812.5288147,15.893075,1.25E+07
626,323.2571925,15.951822,69801.97
627,263.2363599,16.01753,570372.4
628,281.2469893,16.01753,634093.5
629,467.2976176,16.01753,221882.86
630,481.3128354,16.01753,232874.78
631,368.4242311,16.079638,2853876
632,826.5446846,16.079638,1865865.6
633,315.2522045,16.143824,270425.9
634,357.2989484,16.143824,454421.5
635,852.5593676,16.143824,1337081.5
636,604.4042461,16.17326,359640.8
637,609.3599096,16.17326,160885.48
638,476.3573887,16.23571,563647.94
639,481.3129761,16.23571,240730.94
640,408.3673518,16.32687,90802.71
641,782.5681573,16.356415,469069.84
642,604.404291,16.393354,402186.7
643,609.3599891,16.393354,203026.2
644,542.4045219,16.42285,100417.25
645,226.1796954,16.6067,248234.7
646,417.3677115,16.6067,276163.3
647,504.3889384,16.79917,306429.28
648,509.3451184,16.79917,314455.97
649,618.4201386,16.79917,276540.4
650,762.4992644,16.79917,182930.12
651,228.1955071,16.828382,258208.78
652,391.2834724,16.828382,638375.44
653,408.307719,16.828382,364873.28
654,343.2828887,16.857668,118396.22
655,632.4360135,16.891203,666054.4
656,637.3916297,16.891203,369188.72
657,380.2087225,17.016203,393354.06
658,637.3915218,17.016203,198531.67
659,721.5764394,17.016203,302669.9
660,646.4521409,17.04893,188152.52
661,483.3672455,17.108257,78758.9
662,490.3731217,17.108257,270981.7
663,518.4046296,17.108257,338641.47
664,523.3600714,17.108257,189198.92
665,646.4519076,17.199692,151371.84
666,229.1406614,17.238173,273253.1
667,490.3732155,17.238173,175832.64
668,544.4201919,17.238173,90716.17
669,310.3098455,17.26784,102344.94
670,660.467673,17.3615,162801.39
671,504.3884893,17.429688,269594.28
672,490.3731549,17.462873,283304.12
673,511.3019786,17.462873,85902.95
674,336.3253945,17.52219,97712.49
675,610.5761988,17.558704,956341.06
676,896.623635,17.558704,151747.34
677,490.3730212,17.618097,313848.06
678,674.4828544,17.618097,135765.03
679,610.5030363,17.655878,338969.7
680,341.3519273,17.715214,64808.902
681,524.4512913,17.715214,92141.86
682,480.4245172,17.774763,76106.86
683,436.399112,17.812277,82251.336
684,184.9852767,17.871546,2256477.8
685,688.4984317,17.871546,327238.62
686,693.4537314,17.871546,248007.52
687,709.4270621,17.871546,104625.77
688,522.5963443,17.995016,895476.1
689,844.6858098,17.995016,217347.27
690,610.5025751,18.05408,163801.4
691,615.4576807,18.05408,214697.1
692,638.60684,18.05408,1523131.1
693,721.5762221,18.05408,1808117.9
694,737.550421,18.05408,795750.1
695,732.5606823,18.083475,333885.88
696,474.3779299,18.11302,330414.4
697,699.5942964,18.11302,5338518.5
698,610.5023988,18.147514,143558.11
699,371.3144872,18.177101,1492625.6
700,391.2830221,18.210855,1.11E+07
701,413.2649764,18.210855,3114135.8
702,422.3248415,18.210855,259213.58
703,429.2387377,18.210855,2484506.2
704,803.5409776,18.210855,709504.1
705,383.3660424,18.269545,93582.445
706,184.9851833,18.305935,652427.75
707,597.4473066,18.463518,145545.5
708,338.3406584,18.493189,1192133.8
709,721.5758309,18.493189,657120.2
710,714.5858417,18.560791,294421.56
711,716.5297644,18.680414,93712.92
712,772.6122698,18.743736,44416.26
713,419.3144396,18.807959,362931.9
714,666.6378883,18.807959,764305
715,684.560201,18.807959,66331.65
716,327.2520103,18.867426,134125.03
717,488.3935796,18.867426,1768840.8
718,552.481834,18.903822,111143.82
719,508.456175,18.933594,86025.49
720,464.4298138,18.972221,100333.305
721,550.6274773,19.002333,621587.3
722,506.4406166,19.066975,115565.4
723,628.37271,19.129797,761439.25
724,721.5757903,19.129797,442360.03
725,730.6359086,19.129797,616819.3
726,744.6519661,19.129797,741629.25
727,1326.960186,19.129797,232461.66
728,750.5185139,19.190247,68017.9
729,778.5143988,19.190247,2158647
730,716.5646768,19.257956,121650.484
731,456.3456471,19.295942,127768.77
732,730.6356113,19.32588,1122466.6
733,699.5935959,19.423395,2.82E+07
734,744.6513443,19.423395,2174906.5
735,772.6814499,19.423395,528605.94
736,786.6621364,19.423395,1538430.8
737,800.6773074,19.423395,2.37E+07
738,1398.181396,19.423395,2843306.8
739,737.54907,19.58484,172280.64
740,758.6670683,19.58484,601825.94
741,730.6358587,19.615019,861874.25
742,516.424768,19.649122,142552.98
743,796.5913088,19.649122,129923.664
744,448.3901741,19.774609,64433.125
745,531.4067531,19.81195,248911.67
746,632.4903459,19.81195,100291.27
747,591.497183,19.841963,95272.59
748,796.591667,19.87199,113291.195
